db,table,production,table_type,refresh_schedule
activationsdb_shards,pilot,false,rds,12
activationsdb_shards,pilot_devices,false,rds,12
activity_report,manual_odometer_2,true,data_pipeline_node,3
activity_report,report_v5,true,data_pipeline_node,3
agentdb_shards,messages,false,rds,12
agentdb_shards,sessions,false,rds,12
alertsdb,alert_admin_recipients,false,rds,12
alertsdb,latency_metric_timestamps,false,rds,12
api2db_shards,api_token_app_consent_requests,false,rds,12
api2db_shards,stream_connectors,false,rds,12
api2db_shards,stream_subscriptions,false,rds,12
api2db_shards,webhook_event_subscriptions,false,rds,12
api2db_shards,webhook_workflow_subscriptions,false,rds,12
api_logs_report,aggregated_api_logs_count,true,data_pipeline_node,3
apptelematics,tracking_sessions,false,data_pipeline_node,3
apptelematics,trip_data_quality_metrics,false,data_pipeline_node,3
apptelematics,trip_platform_assignment,false,data_pipeline_node,3
associationsdb_shards,device_associations,false,rds,12
associationsdb_shards,updated_groups,false,rds,12
attributedb_shards,attribute_cloud_entities,true,rds,3
attributedb_shards,attribute_values,true,rds,3
attributedb_shards,attributes,false,rds,12
auditsdb_shards,audits,false,rds,6
auditsdb_shards,gql_audits,false,rds,12
camera_connector_health,auxcam_connected_and_recording_durations,true,data_pipeline_node,3
camera_connector_health,auxcam_recording_intervals,true,data_pipeline_node,3
camera_connector_health,cc_connected_and_recording_durations,true,data_pipeline_node,3
camera_connector_health,cc_health_output,true,data_pipeline_node,3
camera_connector_health,cc_recording_intervals,true,data_pipeline_node,3
camera_connector_health,cc_reversing_and_recording_durations,true,data_pipeline_node,3
camera_connector_health,combined_connected_and_recording_durations,true,data_pipeline_node,3
canonical_distance,filtered_odometer,true,data_pipeline_node,3
canonical_distance,interpolated_gps,true,data_pipeline_node,3
canonical_distance,total_distance,true,data_pipeline_node,3
clouddb,addresses,true,rds,3
clouddb,alert_asset_labels,false,rds,12
clouddb,alert_conditions,false,rds,12
clouddb,alert_contacts,false,rds,12
clouddb,alert_devices,false,rds,12
clouddb,alert_drivers,false,rds,12
clouddb,alert_industrial_assets,false,rds,12
clouddb,alert_machine_input_types,false,rds,12
clouddb,alert_machine_inputs,false,rds,12
clouddb,alert_subconditions,false,rds,12
clouddb,alert_tags,false,rds,12
clouddb,alert_webhooks,false,rds,12
clouddb,alert_widgets,false,rds,12
clouddb,alerts,false,rds,12
clouddb,api_tokens,false,rds,12
clouddb,auth0_connections,false,rds,12
clouddb,contacts,false,rds,12
clouddb,custom_roles,false,rds,6
clouddb,dashboards,false,rds,12
clouddb,developer_apps,false,rds,12
clouddb,driver_rating_actions,false,rds,12
clouddb,driver_rulesets,false,rds,12
clouddb,drivers,true,rds,3
clouddb,external_keys,false,rds,12
clouddb,external_values,false,rds,12
clouddb,features_orgs,false,rds,12
clouddb,feedbacks,false,rds,12
clouddb,firmware_build_infos,false,rds,12
clouddb,groups,true,rds,3
clouddb,historical_video_requests,false,rds,12
clouddb,industrial_local_variables,false,rds,12
clouddb,machine_input_types,false,rds,12
clouddb,machine_inputs,false,rds,12
clouddb,machine_machine_inputs,false,rds,12
clouddb,machines,false,rds,12
clouddb,mobile_apps,false,rds,12
clouddb,netsuite_invoices,false,rds,12
clouddb,orders,false,rds,12
clouddb,org_cells,true,rds,3
clouddb,org_invites,false,rds,12
clouddb,org_sfdc_accounts,false,rds,6
clouddb,org_shards,false,rds,6
clouddb,organizations,true,rds,3
clouddb,preventative_maintenance_schedules,false,rds,12
clouddb,sfdc_accounts,false,rds,6
clouddb,slave_devices,false,rds,12
clouddb,slave_pins,false,rds,12
clouddb,stat_mappings,false,rds,12
clouddb,tag_addresses,false,rds,12
clouddb,tag_drivers,false,rds,12
clouddb,tag_workforce_camera_devices,false,rds,12
clouddb,tag_workforce_sites,false,rds,12
clouddb,tags,false,rds,12
clouddb,user_login_infos,false,rds,6
clouddb,user_login_regions,false,rds,6
clouddb,users,false,rds,6
clouddb,users_organizations,true,rds,3
clouddb,vehicle_electrification_type,false,rds,12
clouddb,vehicle_maintenance_logs,false,rds,12
clouddb,vehicle_make_model_weights,false,rds,12
clouddb,webhooks,false,rds,12
cm_health_report,cm_2x_3x_linked_vgs,true,data_pipeline_node,3
cm_health_report,cm_attached_intervals,true,data_pipeline_node,3
cm_health_report,cm_health_output_v2,true,data_pipeline_node,3
cm_health_report,cm_health_output_v4,true,data_pipeline_node,3
cm_health_report,cm_obstructed_last_trip,true,data_pipeline_node,3
cm_health_report,cm_obstructions,true,data_pipeline_node,3
cm_health_report,cm_physically_disconnected_intervals,true,data_pipeline_node,3
cm_health_report,cm_power_intervals,true,data_pipeline_node,3
cm_health_report,cm_recording_intervals,true,data_pipeline_node,3
cm_health_report,cm_recording_intervals_cm2x,true,data_pipeline_node,3
cm_health_report,cm_recording_intervals_cm3x,true,data_pipeline_node,3
cm_health_report,cm_recording_intervals_v4,true,data_pipeline_node,3
cm_health_report,cm_target_build_and_bootcount,true,data_pipeline_node,3
cm_health_report,cm_target_intervals,true,data_pipeline_node,3
cm_health_report,cm_vg_build_and_bootcount,true,data_pipeline_node,3
cm_health_report,cm_vg_intervals,true,data_pipeline_node,3
cmassetsdb_shards,asset_urls,false,rds,12
cmassetsdb_shards,camera_assets,false,rds,12
cmassetsdb_shards,camera_upload_requests,false,rds,12
cmassetsdb_shards,dashcam_assets,false,rds,12
cmassetsdb_shards,dashcam_assets_migration_progress,false,rds,12
cmassetsdb_shards,inference_results,false,rds,12
coachingdb_shards,coach_assignments,false,rds,12
coachingdb_shards,coachable_item,false,rds,12
coachingdb_shards,coachable_item_disputes,false,rds,12
coachingdb_shards,coachable_item_share,false,rds,12
coachingdb_shards,coaching_session_notes,false,rds,12
coachingdb_shards,coaching_session_reminders,false,rds,12
coachingdb_shards,coaching_session_signatures,false,rds,12
coachingdb_shards,coaching_sessions,true,rds,3
coachingdb_shards,coaching_sessions_behavior,false,rds,12
coachingdb_shards,driver_streaks,false,rds,12
coachingdb_shards,organization_settings,false,rds,12
coachingdb_shards,positive_recognition_milestones,false,rds,12
coachingdb_shards,positive_recognition_share_comments,false,rds,12
coachingdb_shards,positive_recognition_share_tokens,false,rds,12
coachingdb_shards,positive_recognition_shares,false,rds,12
compliancedb_shards,auto_duty_events,false,rds,12
compliancedb_shards,autoduty_data_processed,false,rds,12
compliancedb_shards,autoduty_progress,false,rds,12
compliancedb_shards,data_transfer_audit_logs,false,rds,12
compliancedb_shards,driver_carrier_entries,true,rds,3
compliancedb_shards,driver_hos_audit_logs,false,rds,12
compliancedb_shards,driver_hos_charts,false,rds,12
compliancedb_shards,driver_hos_exemption_claim_events,false,rds,12
compliancedb_shards,driver_hos_logs,false,rds,6
compliancedb_shards,driver_hos_settings,false,rds,12
compliancedb_shards,driver_hos_vehicle_assignments,true,rds,3
compliancedb_shards,eld_audit_actions,false,rds,12
compliancedb_shards,eld_malfunction_and_diagnostic_critical_events,false,rds,12
compliancedb_shards,eld_malfunction_or_diagnostic_events,false,rds,12
compliancedb_shards,eld_malfunction_or_diagnostic_metadata,false,rds,12
compliancedb_shards,odometer_jumps,false,rds,12
compliancedb_shards,org_carriers,false,rds,12
compliancedb_shards,vehicle_regulation_mode_config_time_ranges,false,rds,12
compliancedb_shards,vehicle_regulation_mode_driver_time_ranges,false,rds,12
csvuploadsdb_shards,csv_uploads,false,rds,12
customer360,customer_360,false,data_pipeline_node,3
customer360,customer_360_snapshot,false,data_pipeline_node,3
customer360,customer_health_tracker,false,data_pipeline_node,3
customer360,customer_metadata,false,data_pipeline_node,3
customer360,customer_nps,false,data_pipeline_node,3
customer360,customer_operations,false,data_pipeline_node,3
customer360,customer_operations_snapshot,false,data_pipeline_node,3
customer360,customer_sophistication_scores,false,data_pipeline_node,3
customer360,customer_support,false,data_pipeline_node,3
customer360,customer_support_snapshot,false,data_pipeline_node,3
customer360,customer_users,false,data_pipeline_node,3
customer360,device_activations,false,data_pipeline_node,3
customer360,free_trial_device_activity,false,data_pipeline_node,3
customer360,free_trial_shipments,false,data_pipeline_node,3
customer360,org_compliance,false,data_pipeline_node,3
customer360,org_dates,false,data_pipeline_node,3
customer360,org_operations,false,data_pipeline_node,3
customer360,org_operations_snapshot,false,data_pipeline_node,3
customer360,org_platform_usage,false,data_pipeline_node,3
customer360,org_platform_usage_snapshot,false,data_pipeline_node,3
customer360,org_sophistication,false,data_pipeline_node,3
data_analytics,baxter_devices,false,data_pipeline_node,3
data_analytics,baxter_health_daily,false,data_pipeline_node,3
data_analytics,baxter_health_daily_metadata,false,data_pipeline_node,3
data_analytics,baxter_health_trip_intervals,false,data_pipeline_node,3
data_analytics,sites_offline_devices_daily,false,data_pipeline_node,3
data_analytics,telematics_daily_modi_attached_devices,false,data_pipeline_node,3
dataplatform_beta_report,metered_usage,false,data_pipeline_node,3
dataplatform_beta_report,report,false,data_pipeline_node,3
dataplatform_beta_report,whitelist_usage,false,data_pipeline_node,3
dataplatform_stable_report,metered_usage,true,data_pipeline_node,3
dataplatform_stable_report,report,true,data_pipeline_node,3
dataplatform_stable_report,whitelist_usage,true,data_pipeline_node,3
dataplatformtestinternaldb_shards,json_notes,false,rds,12
dataplatformtestinternaldb_shards,notes,false,rds,12
dataprep_ml,dashcam_images,false,data_pipeline_node,3
dataprep,active_devices,false,data_pipeline_node,3
dataprep,api_performance,false,data_pipeline_node,3
dataprep,api_performance_active_deployments,false,data_pipeline_node,3
dataprep,api_performance_active_users,false,data_pipeline_node,3
dataprep,api_performance_and_reliability_past_7_and_30_days,false,data_pipeline_node,3
dataprep,api_reliability,false,data_pipeline_node,3
dataprep,device_product_programs,false,data_pipeline_node,3
dataprep,early_adopters,true,data_pipeline_node,3
datastreams_history,alert_sms_logs,false,datastreams_history,0.5
datastreams_history,amapi_pubsub_messages,false,datastreams_history,0.5
datastreams_history,anomalous_stop_results,false,datastreams_history,0.5
datastreams_history,api_logs,false,datastreams_history,0.5
datastreams_history,asset_characteristics_parses,false,datastreams_history,0.5
datastreams_history,backend_model_registry_ddb,false,datastreams_history,0.5
datastreams_history,battery_prediction_inference_results,false,datastreams_history,0.5
datastreams_history,buildkite_job_error_metrics,false,datastreams_history,0.5
datastreams_history,buildkite_pipeline_metrics,false,datastreams_history,0.5
datastreams_history,cable_selection_logs,false,datastreams_history,0.5
datastreams_history,ce_disassociation_evaluations,false,datastreams_history,0.5
datastreams_history,ce_parsed_proxied_advertisements,false,datastreams_history,0.5
datastreams_history,cloud_app_user_interactions,false,datastreams_history,0.5
datastreams_history,cm_outward_obstruction_v2_inference_results,false,datastreams_history,0.5
datastreams_history,cohort_profile_config_data,false,datastreams_history,0.5
datastreams_history,config_validation_output,false,datastreams_history,0.5
datastreams_history,config_version_history,false,datastreams_history,0.5
datastreams_history,connected_equipment_association_evaluations,false,datastreams_history,0.5
datastreams_history,connected_equipment_fma_deliverability_logs,false,datastreams_history,0.5
datastreams_history,connected_equipment_reefer_command_logs,false,datastreams_history,0.5
datastreams_history,connected_sites_camera_device_auth_logs,false,datastreams_history,0.5
datastreams_history,connected_sites_camera_stream_auth_logs,false,datastreams_history,0.5
datastreams_history,construction_zone_inference_results,false,datastreams_history,0.5
datastreams_history,crash_detector_inference_results,false,datastreams_history,0.5
datastreams_history,crash_filter_transformed_events,false,datastreams_history,0.5
datastreams_history,crux_aggregated_locations,false,datastreams_history,0.5
datastreams_history,crux_observations,false,datastreams_history,0.5
datastreams_history,crux_unaggregated_locations,false,datastreams_history,0.5
datastreams_history,dashcam_drowsiness_inference_results,false,datastreams_history,0.5
datastreams_history,dashcam_inward_mtl_inference_results,false,datastreams_history,0.5
datastreams_history,dashcam_rlv_inference_results,false,datastreams_history,0.5
datastreams_history,dashcam_rolling_stop_inference_results,false,datastreams_history,0.5
datastreams_history,dashcam_vru_cw_inference_results,false,datastreams_history,0.5
datastreams_history,data_connector_client_log_events,false,datastreams_history,0.5
datastreams_history,delete_s3_video_metrics,false,datastreams_history,0.5
datastreams_history,device_backfilled_cargo_state,false,datastreams_history,0.5
datastreams_history,dpf_failure_inference_results,false,datastreams_history,0.5
datastreams_history,driver_assignment_audit_log,false,datastreams_history,0.5
datastreams_history,driver_assignment_dropped_backfill_messages,false,datastreams_history,0.5
datastreams_history,driver_assignment_manual_unassign,false,datastreams_history,0.5
datastreams_history,driver_assignment_settings_audit_log,false,datastreams_history,0.5
datastreams_history,driver_risk_score_inference_results,false,datastreams_history,0.5
datastreams_history,driver_trip_risk_score_inference_results,false,datastreams_history,0.5
datastreams_history,driver_trip_risk_score_v2_inference_results,false,datastreams_history,0.5
datastreams_history,driverappproxy_http_logs,false,datastreams_history,0.5
datastreams_history,dynamic_workflow_runs,false,datastreams_history,0.5
datastreams_history,event_detection_checkpoint_status,false,datastreams_history,0.5
datastreams_history,facial_recognition_processing_audit_log,false,datastreams_history,0.5
datastreams_history,features_turnoff_by_safeguard,false,datastreams_history,0.5
datastreams_history,firmware_model_registry_ddb,false,datastreams_history,0.5
datastreams_history,forward_collision_warning_inference_results,false,datastreams_history,0.5
datastreams_history,forward_distance_v2_inference_results,false,datastreams_history,0.5
datastreams_history,frontend_routeload,false,datastreams_history,0.5
datastreams_history,fuel_anomaly_events,false,datastreams_history,0.5
datastreams_history,fuel_change_estimator_inference_results,false,datastreams_history,0.5
datastreams_history,fuel_level_denoising_inference_results,false,datastreams_history,0.5
datastreams_history,go_test_metrics,false,datastreams_history,0.5
datastreams_history,gopls_metrics,false,datastreams_history,0.5
datastreams_history,gql_query_load,false,datastreams_history,0.5
datastreams_history,harsh_event_write_path_dropoff_metrics,false,datastreams_history,0.5
datastreams_history,internal_rma_audit_log,false,datastreams_history,0.5
datastreams_history,jack_test,false,datastreams_history,0.5
datastreams_history,lane_departure_warning_inference_results,false,datastreams_history,0.5
datastreams_history,messages_metadata,false,datastreams_history,0.5
datastreams_history,ml_data_collection_requests,false,datastreams_history,0.5
datastreams_history,ml_device_configuration_record,false,datastreams_history,0.5
datastreams_history,ml_test_datastream,false,datastreams_history,0.5
datastreams_history,mobile_device_info,false,datastreams_history,0.5
datastreams_history,mobile_logs,false,datastreams_history,0.5
datastreams_history,mobile_nav_routing_events,false,datastreams_history,0.5
datastreams_history,mobile_sentry_events,false,datastreams_history,0.5
datastreams_history,oauth_logs,false,datastreams_history,0.5
datastreams_history,oem_api_data_logs,false,datastreams_history,0.5
datastreams_history,open_weather_severe_weather_alerts,false,datastreams_history,0.5
datastreams_history,org_sam_mapping_events,false,datastreams_history,0.5
datastreams_history,osm_way_metadata_refresh,false,datastreams_history,0.5
datastreams_history,owlgraph_application_logs,false,datastreams_history,0.5
datastreams_history,predictive_maintenance_alert_metrics,false,datastreams_history,0.5
datastreams_history,qualifications_jjkeller_migration,false,datastreams_history,0.5
datastreams_history,rear_collision_warning_inference_results,false,datastreams_history,0.5
datastreams_history,remote_support_feedback_log,false,datastreams_history,0.5
datastreams_history,routeplanning_cost_metrics,false,datastreams_history,0.5
datastreams_history,safety_asset_processing_metrics,false,datastreams_history,0.5
datastreams_history,safety_asset_url_metrics,false,datastreams_history,0.5
datastreams_history,safety_assetblurringserver_metrics,false,datastreams_history,0.5
datastreams_history,safety_cell_data_usage_metrics,false,datastreams_history,0.5
datastreams_history,safety_cvworker_audio_deprecation_logs,false,datastreams_history,0.5
datastreams_history,safety_ser_sla_bucket_metrics,false,datastreams_history,0.5
datastreams_history,safety_webrtc_livestream_metrics,false,datastreams_history,0.5
datastreams_history,safety_workflow_metrics,false,datastreams_history,0.5
datastreams_history,scientist_experiment_logs,false,datastreams_history,0.5
datastreams_history,ser_event_trace,false,datastreams_history,0.5
datastreams_history,smart_maps_ingested_images,false,datastreams_history,0.5
datastreams_history,smart_maps_road_condition_notifications,false,datastreams_history,0.5
datastreams_history,smart_maps_vehicle_settings_changes,false,datastreams_history,0.5
datastreams_history,speed_limit_locations,false,datastreams_history,0.5
datastreams_history,speed_spike_detections,false,datastreams_history,0.5
datastreams_history,statsprocessor_future_timestamp_logs_dropped,false,datastreams_history,0.5
datastreams_history,stream_publish_logs,false,datastreams_history,0.5
datastreams_history,tile_generation_logs,false,datastreams_history,0.5
datastreams_history,transcodeworker_processing_duration_metrics,false,datastreams_history,0.5
datastreams_history,triage_event_filter_checkpoint_status,false,datastreams_history,0.5
datastreams_history,vapi_webhook_messages,false,datastreams_history,0.5
datastreams_history,vbs_inference_results,false,datastreams_history,0.5
datastreams_history,vehicle_misuse_anomalies,false,datastreams_history,0.5
datastreams_history,vehicle_positioning_inference_results,false,datastreams_history,0.5
datastreams_history,video_retrieval_cancelled_log,false,datastreams_history,0.5
datastreams_history,vin_decoding_logs,false,datastreams_history,0.5
datastreams_history,webhook_logs,false,datastreams_history,0.5
datastreams_history,workflow_alert_incident_comparison_logs,false,datastreams_history,0.5
datastreams_history,workforce_camera_device_add_metrics,false,datastreams_history,0.5
datastreams_history,workforce_camera_stream_add_metrics,false,datastreams_history,0.5
datastreams_history,workforce_local_storage_and_retention_logs,false,datastreams_history,0.5
datastreams_history,workforce_media_upload_recovery_attempts,false,datastreams_history,0.5
datastreams_history,workforce_video_hls_client_fetch_segment,false,datastreams_history,0.5
datastreams_history,workforce_video_hls_server_fetch_segment,false,datastreams_history,0.5
datastreams_history,workforce_video_hls_stream_error_end,false,datastreams_history,0.5
datastreams_history,workforce_video_hls_stream_error_start,false,datastreams_history,0.5
datastreams_history,workforce_video_stream_end_logs,false,datastreams_history,0.5
datastreams_history,workforce_video_stream_metric_intervals,false,datastreams_history,0.5
datastreams_history,workforce_video_streaming_page_states,false,datastreams_history,0.5
datastreams_history,workforce_video_unhealthy_webrtc_intervals,false,datastreams_history,0.5
datastreams_history,workforce_video_webrtc_fallback_events,false,datastreams_history,0.5
datastreams_history,workforce_video_webrtc_livestream_metrics,false,datastreams_history,0.5
datastreams_history,workforce_video_webrtc_sample_interval,false,datastreams_history,0.5
datastreams_schema,alert_sms_logs,false,datastreams_schema,0.5
datastreams_schema,amapi_pubsub_messages,false,datastreams_schema,0.5
datastreams_schema,anomalous_stop_results,false,datastreams_schema,0.5
datastreams_schema,api_logs,false,datastreams_schema,0.5
datastreams_schema,asset_characteristics_parses,false,datastreams_schema,0.5
datastreams_schema,backend_model_registry_ddb,false,datastreams_schema,0.5
datastreams_schema,battery_prediction_inference_results,false,datastreams_schema,0.5
datastreams_schema,buildkite_job_error_metrics,false,datastreams_schema,0.5
datastreams_schema,buildkite_pipeline_metrics,false,datastreams_schema,0.5
datastreams_schema,cable_selection_logs,false,datastreams_schema,0.5
datastreams_schema,ce_disassociation_evaluations,false,datastreams_schema,0.5
datastreams_schema,ce_parsed_proxied_advertisements,false,datastreams_schema,0.5
datastreams_schema,cloud_app_user_interactions,false,datastreams_schema,0.5
datastreams_schema,cm_outward_obstruction_v2_inference_results,false,datastreams_schema,0.5
datastreams_schema,cohort_profile_config_data,false,datastreams_schema,0.5
datastreams_schema,config_validation_output,false,datastreams_schema,0.5
datastreams_schema,config_version_history,false,datastreams_schema,0.5
datastreams_schema,connected_equipment_association_evaluations,false,datastreams_schema,0.5
datastreams_schema,connected_equipment_fma_deliverability_logs,false,datastreams_schema,0.5
datastreams_schema,connected_equipment_reefer_command_logs,false,datastreams_schema,0.5
datastreams_schema,connected_sites_camera_device_auth_logs,false,datastreams_schema,0.5
datastreams_schema,connected_sites_camera_stream_auth_logs,false,datastreams_schema,0.5
datastreams_schema,construction_zone_inference_results,false,datastreams_schema,0.5
datastreams_schema,crash_detector_inference_results,false,datastreams_schema,0.5
datastreams_schema,crash_filter_transformed_events,false,datastreams_schema,0.5
datastreams_schema,crux_aggregated_locations,false,datastreams_schema,0.5
datastreams_schema,crux_observations,false,datastreams_schema,0.5
datastreams_schema,crux_unaggregated_locations,false,datastreams_schema,0.5
datastreams_schema,dashcam_drowsiness_inference_results,false,datastreams_schema,0.5
datastreams_schema,dashcam_inward_mtl_inference_results,false,datastreams_schema,0.5
datastreams_schema,dashcam_rlv_inference_results,false,datastreams_schema,0.5
datastreams_schema,dashcam_rolling_stop_inference_results,false,datastreams_schema,0.5
datastreams_schema,dashcam_vru_cw_inference_results,false,datastreams_schema,0.5
datastreams_schema,data_connector_client_log_events,false,datastreams_schema,0.5
datastreams_schema,delete_s3_video_metrics,false,datastreams_schema,0.5
datastreams_schema,device_backfilled_cargo_state,false,datastreams_schema,0.5
datastreams_schema,dpf_failure_inference_results,false,datastreams_schema,0.5
datastreams_schema,driver_assignment_audit_log,false,datastreams_schema,0.5
datastreams_schema,driver_assignment_dropped_backfill_messages,false,datastreams_schema,0.5
datastreams_schema,driver_assignment_manual_unassign,false,datastreams_schema,0.5
datastreams_schema,driver_assignment_settings_audit_log,false,datastreams_schema,0.5
datastreams_schema,driver_risk_score_inference_results,false,datastreams_schema,0.5
datastreams_schema,driver_trip_risk_score_inference_results,false,datastreams_schema,0.5
datastreams_schema,driver_trip_risk_score_v2_inference_results,false,datastreams_schema,0.5
datastreams_schema,driverappproxy_http_logs,false,datastreams_schema,0.5
datastreams_schema,dynamic_workflow_runs,false,datastreams_schema,0.5
datastreams_schema,event_detection_checkpoint_status,false,datastreams_schema,0.5
datastreams_schema,facial_recognition_processing_audit_log,false,datastreams_schema,0.5
datastreams_schema,features_turnoff_by_safeguard,false,datastreams_schema,0.5
datastreams_schema,firmware_model_registry_ddb,false,datastreams_schema,0.5
datastreams_schema,forward_collision_warning_inference_results,false,datastreams_schema,0.5
datastreams_schema,forward_distance_v2_inference_results,false,datastreams_schema,0.5
datastreams_schema,frontend_routeload,false,datastreams_schema,0.5
datastreams_schema,fuel_anomaly_events,false,datastreams_schema,0.5
datastreams_schema,fuel_change_estimator_inference_results,false,datastreams_schema,0.5
datastreams_schema,fuel_level_denoising_inference_results,false,datastreams_schema,0.5
datastreams_schema,go_test_metrics,false,datastreams_schema,0.5
datastreams_schema,gopls_metrics,false,datastreams_schema,0.5
datastreams_schema,gql_query_load,false,datastreams_schema,0.5
datastreams_schema,harsh_event_write_path_dropoff_metrics,false,datastreams_schema,0.5
datastreams_schema,internal_rma_audit_log,false,datastreams_schema,0.5
datastreams_schema,jack_test,false,datastreams_schema,0.5
datastreams_schema,lane_departure_warning_inference_results,false,datastreams_schema,0.5
datastreams_schema,messages_metadata,false,datastreams_schema,0.5
datastreams_schema,ml_data_collection_requests,false,datastreams_schema,0.5
datastreams_schema,ml_device_configuration_record,false,datastreams_schema,0.5
datastreams_schema,ml_test_datastream,false,datastreams_schema,0.5
datastreams_schema,mobile_device_info,false,datastreams_schema,0.5
datastreams_schema,mobile_logs,false,datastreams_schema,0.5
datastreams_schema,mobile_nav_routing_events,false,datastreams_schema,0.5
datastreams_schema,mobile_sentry_events,false,datastreams_schema,0.5
datastreams_schema,oauth_logs,false,datastreams_schema,0.5
datastreams_schema,oem_api_data_logs,false,datastreams_schema,0.5
datastreams_schema,open_weather_severe_weather_alerts,false,datastreams_schema,0.5
datastreams_schema,org_sam_mapping_events,false,datastreams_schema,0.5
datastreams_schema,osm_way_metadata_refresh,false,datastreams_schema,0.5
datastreams_schema,owlgraph_application_logs,false,datastreams_schema,0.5
datastreams_schema,predictive_maintenance_alert_metrics,false,datastreams_schema,0.5
datastreams_schema,qualifications_jjkeller_migration,false,datastreams_schema,0.5
datastreams_schema,rear_collision_warning_inference_results,false,datastreams_schema,0.5
datastreams_schema,remote_support_feedback_log,false,datastreams_schema,0.5
datastreams_schema,routeplanning_cost_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_asset_processing_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_asset_url_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_assetblurringserver_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_cell_data_usage_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_cvworker_audio_deprecation_logs,false,datastreams_schema,0.5
datastreams_schema,safety_ser_sla_bucket_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_webrtc_livestream_metrics,false,datastreams_schema,0.5
datastreams_schema,safety_workflow_metrics,false,datastreams_schema,0.5
datastreams_schema,scientist_experiment_logs,false,datastreams_schema,0.5
datastreams_schema,ser_event_trace,false,datastreams_schema,0.5
datastreams_schema,smart_maps_ingested_images,false,datastreams_schema,0.5
datastreams_schema,smart_maps_road_condition_notifications,false,datastreams_schema,0.5
datastreams_schema,smart_maps_vehicle_settings_changes,false,datastreams_schema,0.5
datastreams_schema,speed_limit_locations,false,datastreams_schema,0.5
datastreams_schema,speed_spike_detections,false,datastreams_schema,0.5
datastreams_schema,statsprocessor_future_timestamp_logs_dropped,false,datastreams_schema,0.5
datastreams_schema,stream_publish_logs,false,datastreams_schema,0.5
datastreams_schema,tile_generation_logs,false,datastreams_schema,0.5
datastreams_schema,transcodeworker_processing_duration_metrics,false,datastreams_schema,0.5
datastreams_schema,triage_event_filter_checkpoint_status,false,datastreams_schema,0.5
datastreams_schema,vapi_webhook_messages,false,datastreams_schema,0.5
datastreams_schema,vbs_inference_results,false,datastreams_schema,0.5
datastreams_schema,vehicle_misuse_anomalies,false,datastreams_schema,0.5
datastreams_schema,vehicle_positioning_inference_results,false,datastreams_schema,0.5
datastreams_schema,video_retrieval_cancelled_log,false,datastreams_schema,0.5
datastreams_schema,vin_decoding_logs,false,datastreams_schema,0.5
datastreams_schema,webhook_logs,false,datastreams_schema,0.5
datastreams_schema,workflow_alert_incident_comparison_logs,false,datastreams_schema,0.5
datastreams_schema,workforce_camera_device_add_metrics,false,datastreams_schema,0.5
datastreams_schema,workforce_camera_stream_add_metrics,false,datastreams_schema,0.5
datastreams_schema,workforce_local_storage_and_retention_logs,false,datastreams_schema,0.5
datastreams_schema,workforce_media_upload_recovery_attempts,false,datastreams_schema,0.5
datastreams_schema,workforce_video_hls_client_fetch_segment,false,datastreams_schema,0.5
datastreams_schema,workforce_video_hls_server_fetch_segment,false,datastreams_schema,0.5
datastreams_schema,workforce_video_hls_stream_error_end,false,datastreams_schema,0.5
datastreams_schema,workforce_video_hls_stream_error_start,false,datastreams_schema,0.5
datastreams_schema,workforce_video_stream_end_logs,false,datastreams_schema,0.5
datastreams_schema,workforce_video_stream_metric_intervals,false,datastreams_schema,0.5
datastreams_schema,workforce_video_streaming_page_states,false,datastreams_schema,0.5
datastreams_schema,workforce_video_unhealthy_webrtc_intervals,false,datastreams_schema,0.5
datastreams_schema,workforce_video_webrtc_fallback_events,false,datastreams_schema,0.5
datastreams_schema,workforce_video_webrtc_livestream_metrics,false,datastreams_schema,0.5
datastreams_schema,workforce_video_webrtc_sample_interval,false,datastreams_schema,0.5
datastreams,alert_sms_logs,false,datastreams,0.5
datastreams,amapi_pubsub_messages,false,datastreams,0.5
datastreams,anomalous_stop_results,false,datastreams,0.5
datastreams,api_logs,false,datastreams,0.5
datastreams,asset_characteristics_parses,false,datastreams,0.5
datastreams,backend_model_registry_ddb,false,datastreams,0.5
datastreams,battery_prediction_inference_results,false,datastreams,0.5
datastreams,buildkite_job_error_metrics,false,datastreams,0.5
datastreams,buildkite_pipeline_metrics,false,datastreams,0.5
datastreams,cable_selection_logs,false,datastreams,0.5
datastreams,ce_disassociation_evaluations,false,datastreams,0.5
datastreams,ce_parsed_proxied_advertisements,false,datastreams,0.5
datastreams,cloud_app_user_interactions,false,datastreams,0.5
datastreams,cm_outward_obstruction_v2_inference_results,false,datastreams,0.5
datastreams,cohort_profile_config_data,false,datastreams,0.5
datastreams,config_validation_output,false,datastreams,0.5
datastreams,config_version_history,false,datastreams,0.5
datastreams,connected_equipment_association_evaluations,false,datastreams,0.5
datastreams,connected_equipment_fma_deliverability_logs,false,datastreams,0.5
datastreams,connected_equipment_reefer_command_logs,false,datastreams,0.5
datastreams,connected_sites_camera_device_auth_logs,false,datastreams,0.5
datastreams,connected_sites_camera_stream_auth_logs,false,datastreams,0.5
